date,monthlyconsumption
1/1/2015,43
2/1/2015,21
3/1/2015,32
4/1/2015,11
5/1/2015,0
6/1/2015,16
7/1/2015,0
8/1/2015,16
9/1/2015,32
10/1/2015,35
11/1/2015,15
12/1/2015,1
1/1/2016,44
2/1/2016,22
3/1/2016,33
4/1/2016,12
5/1/2016,1
6/1/2016,17
7/1/2016,32
8/1/2016,1
9/1/2016,33
10/1/2016,36
11/1/2016,16
12/1/2016,1
1/1/2017,45
2/1/2017,23
3/1/2017,34
4/1/2017,13
5/1/2017,0
6/1/2017,18
7/1/2017,33
8/1/2017,0
9/1/2017,34
10/1/2017,37
11/1/2017,18
12/1/2017,0
1/1/2018,47
2/1/2018,24
3/1/2018,35
4/1/2018,14
5/1/2018,1
6/1/2018,19
7/1/2018,34
8/1/2018,2
9/1/2018,35
10/1/2018,38
11/1/2018,19
12/1/2018,2
1/1/2019,48
2/1/2019,25
3/1/2019,35
4/1/2019,15
5/1/2019,0
6/1/2019,20
7/1/2019,35
8/1/2019,0
9/1/2019,35
10/1/2019,40
11/1/2019,20
12/1/2019,0
1/1/2020,50
